940 877
200 334 -982
499 785 586
196 443 -156
407 695 -362
407 234 32
883 465 -636
242 288 -500
20 663 986
874 552 258
452 297 106
911 182 127
532 347 411
385 836 -274
633 719 837
15 804 736
3 654 813
299 340 230
478 932 -12
292 117 414
787 667 777
286 913 55
766 133 538
823 55 -326
207 105 -879
750 931 894
606 814 -173
134 260 2
15 249 630
888 368 -154
744 309 -950
637 644 783
108 563 158
529 840 861
125 897 -765
56 1 -65
259 55 -650
280 802 -725
495 174 -443
1 123 -476
705 742 -818
37 598 -44
325 613 -668
405 826 447
183 279 -985
540 335 -359
645 298 -936
686 97 -368
48 367 353
855 385 933
22 199 585
323 305 -157
857 254 949
787 316 -867
7 435 -990
296 4 -978
658 799 -108
564 355 -604
759 155 -736
754 791 153
352 415 589
253 918 -849
296 271 -944
786 14 -470
71 380 -967
710 796 42
40 467 -942
837 846 -788
560 798 -82
315 222 916
785 8 834
670 677 -847
692 320 -867
657 777 836
216 862 -724
25 608 -227
143 906 824
752 551 -940
278 622 148
731 460 -106
290 612 862
437 339 22
395 525 704
861 59 -615
196 771 -722
749 603 396
151 121 -418
161 477 684
746 813 -988
665 692 -221
32 218 -263
577 324 -246
711 372 -312
88 321 -315
57 198 174
564 561 917
507 671 -173
370 790 634
199 427 -991
390 19 636
308 520 946
555 600 154
934 920 794
273 818 -226
821 563 -2
237 226 -729
473 750 -485
1 596 322
581 546 181
900 919 449
137 409 111
894 875 531
887 457 282
664 399 -578
857 137 194
759 539 -989
882 173 800
229 103 -912
558 221 -154
633 125 -211
392 689 -477
655 116 730
647 343 -545
323 378 -417
250 133 -372
154 601 251
40 639 -643
393 726 686
852 38 -743
875 294 -355
265 26 913
387 207 909
51 908 747
865 487 -651
920 444 -799
229 574 608
935 639 -130
913 816 487
886 76 481
357 385 558
709 157 -345
520 327 -233
758 69 371
155 480 197
382 510 -951
278 473 -917
457 8 445
697 447 -937
84 690 70
92 628 908
931 33 564
673 53 -758
236 507 264
133 443 -338
336 751 695
84 919 -803
594 197 -761
176 862 -388
34 168 59
523 496 -772
459 85 -825
912 97 -823
633 64 -813
294 626 908
654 57 -841
420 395 -379
664 860 -631
363 738 -488
322 582 -505
622 742 -260
404 100 -258
191 139 18
102 705 -836
805 722 -167
536 345 705
937 876 -227
249 354 794
716 868 -346
599 243 706
858 833 -222
512 55 631
138 726 319
210 741 -33
498 929 578
106 510 916
478 722 560
485 760 517
155 114 -392
329 391 298
352 662 378
471 713 -867
558 114 -784
426 291 -16
233 578 -21
797 529 983
66 764 -473
280 657 -426
2 298 702
764 86 813
244 862 978
116 208 52
483 649 -952
540 477 -719
478 450 -688
51 465 985
95 853 -712
342 165 405
276 534 -168
133 188 -316
549 328 -12
452 352 875
656 607 -427
536 443 -889
831 790 160
108 492 -394
668 704 -357
881 620 261
622 642 -653
399 401 521
769 293 188
563 230 -947
866 567 227
672 284 97
576 145 -847
139 839 -630
254 300 -717
277 428 591
543 219 372
483 772 -875
883 811 -495
40 453 135
348 872 133
354 385 922
337 904 -391
636 730 -265
556 287 -952
908 634 -30
884 561 330
815 753 415
590 295 -642
721 581 258
46 86 -731
833 482 -443
552 783 773
932 822 107
536 718 267
660 532 -942
468 192 -653
561 528 461
736 788 453
288 73 -779
788 282 -111
702 524 130
607 59 576
881 769 610
355 53 -879
550 164 -982
697 381 577
138 438 -971
582 539 -442
166 762 -367
462 500 -820
506 101 -772
291 139 442
7 278 660
183 627 85
645 609 -93
788 618 201
487 904 -849
832 259 -253
857 755 -218
802 288 -509
413 793 617
223 571 76
340 149 159
279 397 -39
349 105 -424
79 758 651
187 883 -465
198 246 -945
85 242 559
244 353 269
655 15 -503
829 554 731
680 419 -137
578 759 942
761 746 603
469 425 -928
179 529 786
918 923 -101
179 209 758
272 771 906
359 188 611
659 797 -767
399 453 -882
798 103 129
718 935 -915
729 120 653
852 810 579
33 906 -598
198 89 67
86 801 -23
322 482 -467
922 246 -202
912 75 162
536 182 690
147 676 -486
549 377 -840
607 730 -209
10 631 323
694 727 486
624 59 -525
82 262 159
620 486 902
528 300 -738
181 251 -353
635 707 460
531 11 583
268 839 -570
372 253 -373
615 645 721
775 619 360
43 313 203
99 258 -167
466 401 -596
544 490 -136
867 70 -481
635 325 -47
19 931 926
604 498 -149
764 541 299
40 746 -624
3 906 531
112 827 520
627 331 335
436 187 -258
754 289 405
113 911 234
246 114 608
641 814 826
483 613 63
460 649 887
592 143 -25
786 815 -465
890 82 709
339 240 -419
889 435 73
795 385 -727
544 817 196
468 311 -53
157 322 988
48 810 726
744 884 393
248 728 -249
145 164 761
544 553 -925
882 372 417
782 350 -892
798 434 -119
