913 2464
669 754 110
822 590 163
832 552 17
428 903 649
611 25 289
77 233 481
11 637 964
126 709 40
17 86 153
376 262 326
760 337 280
656 67 140
820 219 915
345 460 949
750 508 797
125 224 512
522 529 639
171 38 952
524 268 498
459 744 699
469 830 314
829 420 83
565 824 658
135 761 345
399 441 859
264 789 194
633 237 916
200 1 321
434 221 857
889 466 194
231 817 124
488 306 537
814 181 482
379 683 970
188 751 352
262 436 413
688 105 750
460 632 576
342 432 547
645 539 270
671 856 336
267 599 12
495 341 987
324 574 494
49 102 479
134 875 815
705 713 403
45 730 211
742 676 718
874 802 370
565 136 897
850 449 700
585 428 974
343 200 227
349 318 244
168 328 155
345 312 416
586 232 144
600 345 508
231 172 834
545 275 439
642 889 936
616 421 567
93 265 543
114 276 248
571 573 625
296 224 386
712 257 194
482 845 103
182 887 640
395 150 911
267 406 929
745 339 43
792 319 148
376 101 980
374 50 507
492 742 904
200 665 791
689 472 953
373 582 494
760 150 966
901 287 927
544 641 135
328 400 985
562 538 579
34 755 422
838 439 244
428 47 200
574 153 450
321 411 546
714 846 876
231 485 57
124 219 517
822 519 429
816 374 629
191 548 150
161 569 965
83 592 859
835 126 510
275 476 806
356 651 645
205 415 236
588 785 358
181 9 782
882 716 652
681 453 716
84 120 668
396 417 337
525 111 43
759 422 145
32 768 848
522 843 882
664 860 34
528 341 860
441 763 432
350 771 188
584 7 43
669 697 746
635 293 134
538 587 5
559 450 328
587 608 829
779 459 859
121 825 249
714 575 49
808 780 139
294 629 761
78 608 95
367 638 619
71 572 337
811 26 425
898 874 369
882 891 933
684 578 946
176 567 51
171 545 700
551 865 124
911 260 62
661 210 101
62 29 394
59 791 783
744 289 121
778 64 34
98 739 418
6 664 836
631 219 403
41 709 631
180 171 436
737 572 945
691 873 980
789 559 155
484 656 831
216 579 881
456 636 970
299 162 482
258 567 8
349 615 741
277 152 814
553 392 36
305 514 717
760 724 447
757 870 58
10 443 989
800 301 105
282 711 686
145 448 639
740 431 582
260 851 597
875 50 133
458 633 851
747 504 738
462 594 378
134 529 454
599 109 338
508 749 541
303 316 697
576 306 961
650 570 448
899 75 800
904 870 677
303 188 607
213 562 951
278 54 737
213 601 226
482 386 720
795 605 314
601 325 485
100 529 595
3 60 703
121 831 386
721 202 92
113 192 192
852 184 650
458 195 262
373 288 582
610 694 523
12 832 34
469 852 478
472 403 49
792 501 238
637 221 911
553 848 665
364 638 933
211 411 779
652 789 653
8 55 346
454 326 360
297 730 142
326 748 813
742 500 285
546 878 814
800 271 333
73 428 566
129 594 440
666 910 105
809 183 389
548 305 431
622 623 661
50 70 297
480 257 989
691 667 26
258 895 207
859 749 693
910 535 847
716 591 672
778 263 988
138 108 371
621 851 746
759 525 935
687 262 260
237 560 627
177 658 913
557 674 204
267 419 286
242 594 839
331 643 808
751 11 393
851 566 191
477 840 136
645 549 45
169 859 852
483 33 142
790 212 233
1 6 743
849 646 440
488 188 486
269 105 238
287 817 522
232 314 841
96 326 360
665 585 34
7 404 689
108 1 621
349 455 21
504 879 608
757 153 699
903 148 618
520 89 568
120 687 266
473 637 177
682 6 622
379 50 567
171 201 884
254 509 761
568 872 321
555 551 201
748 714 228
435 493 561
361 284 230
908 469 428
90 483 947
425 854 714
716 288 382
597 291 31
720 356 552
699 103 674
578 82 646
491 231 132
135 642 314
620 430 46
892 106 769
691 25 869
695 36 232
898 859 222
661 490 500
309 13 6
171 47 776
838 683 626
356 587 25
54 121 364
485 440 91
266 684 712
265 453 61
852 768 860
542 378 778
363 655 305
227 296 413
679 251 22
882 686 380
783 353 526
732 421 714
317 408 559
117 320 278
47 140 605
529 591 488
428 388 37
615 78 295
169 567 834
254 507 688
475 793 178
369 901 740
896 453 444
187 258 845
859 334 712
495 174 199
494 590 825
607 605 489
325 224 261
908 274 254
755 860 346
163 626 155
103 393 749
179 166 2
755 534 53
423 622 392
428 849 157
748 808 347
892 844 740
615 776 701
794 865 465
83 67 62
142 780 136
770 687 852
424 354 978
203 311 663
199 754 991
280 426 775
693 35 703
835 674 984
638 36 365
646 377 415
900 387 355
342 530 396
189 847 749
163 99 760
747 206 888
143 804 773
384 415 304
907 519 190
244 179 628
322 868 880
842 272 575
15 362 480
397 724 514
143 490 280
535 212 96
391 734 694
181 79 780
259 146 352
742 623 845
731 829 806
109 762 574
882 641 864
122 45 145
406 839 365
80 87 502
439 887 210
876 270 456
38 316 240
820 62 341
439 450 692
550 248 720
