20
908 828
101 222 -710
367 82 -502
166 848 615
698 700 28
873 316 -89
130 253 564
826 750 -568
821 338 -233
660 737 -368
15 689 600
744 705 682
122 598 -792
759 807 412
766 592 -581
127 861 -125
292 649 -57
900 97 821
623 843 560
730 492 -304
761 178 -658
383 515 569
197 640 199
354 483 -845
403 50 329
221 755 -503
718 299 454
389 604 -39
620 175 440
406 598 -166
21 176 -7
885 362 -840
425 600 -454
42 810 -443
27 330 -818
114 862 -644
229 361 -628
297 55 -661
877 788 220
116 167 -921
793 863 283
832 137 983
565 610 -936
249 312 -958
327 27 -362
899 362 828
860 477 -988
58 144 -329
258 851 -69
458 680 259
113 586 211
773 190 -233
557 198 401
321 591 -236
881 111 93
233 184 463
173 597 -954
146 420 -220
309 760 508
548 729 -420
503 415 838
63 253 -199
850 46 218
100 79 869
428 70 637
112 132 -898
742 246 -638
854 157 947
419 366 -755
321 667 -279
728 539 807
535 318 -693
809 114 624
764 558 -364
826 403 714
541 810 671
884 38 -148
581 854 -229
150 226 -395
632 136 -754
26 215 -577
466 641 102
192 122 -322
217 436 848
193 835 -710
633 858 -525
194 613 168
650 141 -611
54 432 -121
70 730 267
475 72 849
877 357 -664
837 536 -251
100 387 251
523 192 -388
606 692 421
781 239 952
565 602 -352
603 42 -439
150 27 -809
598 713 -169
658 170 898
227 55 -83
630 642 145
707 361 -251
857 2 183
519 131 -56
105 769 560
70 472 -562
92 354 400
418 39 284
367 892 -550
831 77 878
34 169 -527
176 564 415
350 646 958
865 161 -357
841 193 -306
16 746 479
797 432 852
500 413 926
396 202 545
371 624 475
282 794 -350
192 409 -745
567 674 -496
655 895 -788
267 528 836
335 723 -234
891 758 68
181 459 112
856 852 737
71 289 -911
423 509 -847
116 291 -454
680 571 -199
529 822 294
643 563 896
644 357 -632
43 182 -947
215 220 808
602 156 -147
892 854 -889
548 125 -846
490 81 921
791 294 -904
344 611 -565
904 657 -993
285 408 933
589 99 838
512 168 395
887 663 -100
178 342 -192
390 431 -54
615 659 -776
575 578 -809
899 304 -63
161 14 949
400 652 -233
869 304 113
649 715 196
171 240 366
326 589 -7
844 571 -270
807 634 197
377 252 175
447 179 -435
389 412 -107
393 407 718
538 834 401
337 663 956
832 326 689
896 298 -469
830 614 -302
339 41 127
740 69 -961
893 68 222
15 242 477
812 505 -573
404 598 347
637 753 -979
869 336 289
484 424 -623
371 567 -677
24 505 34
200 424 -449
327 410 953
201 154 17
780 356 -137
267 866 -513
901 686 43
90 834 98
765 338 979
399 494 668
861 637 -486
859 422 620
703 501 -584
220 394 -794
