9895 29698
7480 4798 -524
2606 1540 709
3225 329 -408
8201 9258 -393
7075 2502 -789
7230 7659 -961
419 30 -976
4888 6945 986
6988 5997 -561
45 8887 130
8414 8353 -639
8789 8662 461
3522 9004 -245
218 7094 415
2162 5665 96
221 337 -766
9345 8329 335
6332 9257 785
826 3762 -987
2929 184 271
4806 5115 475
3717 9461 -333
7142 5391 -157
1444 5060 -118
9839 3485 310
4664 294 2
4771 1872 -116
6465 6249 -962
7476 1667 162
5295 7386 613
4230 1358 -345
5630 3703 -625
5337 5160 -38
724 2278 -358
1503 3930 636
7627 9197 -557
4220 1254 559
5869 5725 -592
6172 3696 -759
7875 8828 -212
712 3999 985
8178 7061 -764
4078 6381 553
5932 6677 923
6735 7758 -832
5623 3670 283
1452 6694 -897
6256 6697 141
6077 7091 623
2470 4271 499
2302 8679 -54
8734 3136 613
873 3613 -786
7512 9391 -285
5011 8286 -674
1731 8623 -927
547 9338 908
3270 6532 973
238 4833 -544
115 5621 2
8310 7016 -788
2641 1827 -263
7186 6020 479
810 3216 2
4309 6431 -62
9626 7406 431
2658 9225 976
5401 2021 -842
7921 4167 -975
3177 6186 -269
5921 6231 183
4654 6378 438
2338 3672 170
9460 5490 -527
7544 9377 -942
4060 1273 -716
7563 1279 -373
8931 7708 -154
1322 5518 -881
9132 4631 -290
5049 2790 116
4658 9767 -193
866 4874 -35
7320 6917 649
2460 8944 488
2711 4215 -488
8463 8273 -341
7910 5475 -79
8955 5769 -220
7484 2192 640
506 6575 941
5374 6656 592
9620 5539 -535
7912 8555 846
516 3591 -751
1976 3473 522
7120 675 -117
1978 8402 716
9737 9054 -417
8720 2203 836
5486 1448 -595
1125 8723 352
9870 3841 -360
510 1410 -391
6353 6998 -756
9765 5409 -190
4621 1312 -812
9727 7810 729
2251 8268 928
7321 1622 499
415 6393 -9
5195 4522 -149
2089 3643 877
8587 1787 174
6976 3171 -717
6057 2357 543
7656 2439 553
1009 9318 839
3388 4369 210
7806 3519 -304
9180 7019 -517
1019 513 766
9163 1368 -368
7531 2318 259
8197 2692 -227
4650 6058 861
7929 7061 -393
6379 8916 732
5403 4578 607
6689 2077 650
6769 7873 848
4378 7399 96
5788 6272 708
1780 8698 -140
629 1611 -357
4762 8708 -898
3800 1189 -929
9535 1369 633
9543 2734 165
1644 2061 675
3867 1036 -210
4818 6002 -557
9509 6064 691
6814 6702 886
594 7260 -141
8978 5846 -594
810 109 980
1128 2133 -504
8597 1 793
3027 8976 -374
8454 7035 446
6565 7010 430
4907 1962 282
2110 8330 595
8529 9215 -8
7878 6634 344
4558 9332 659
5865 4369 343
8165 5669 -930
6038 377 335
6455 5924 911
1157 6643 525
9107 9471 469
9031 1105 804
39 8527 115
9623 6862 955
3937 925 -494
3897 1470 -200
3592 9789 -913
2381 6042 -1
3142 5032 335
9185 1726 -36
8296 8632 -975
3258 6635 -415
4928 2630 -668
7859 9011 870
533 8386 936
4882 8367 -56
6461 9468 601
8986 2214 582
8653 7839 -50
6559 996 -67
4554 1298 -471
7082 5889 631
4440 7572 519
4508 7295 588
779 1585 630
280 7349 636
2998 7002 75
4347 1943 -520
1612 8401 515
7983 94 -473
6712 8888 912
3019 9504 -755
7863 1119 316
9837 2864 477
5315 5262 -577
6700 4176 883
1286 9183 816
5832 4003 428
7544 8864 635
6252 8080 -120
2361 3953 408
217 1093 -952
1872 3633 524
6310 4924 -393
8038 9833 -488
6734 3626 -351
8661 7710 31
4235 6283 143
7637 7285 715
257 9664 -348
9188 2973 958
1114 2696 143
8153 7420 141
4541 7910 -158
4628 3852 351
6739 5884 332
3919 259 -869
9571 7117 686
8845 9673 -583
579 2366 -12
227 3308 -484
5801 1110 60
6184 7416 936
1215 7203 616
9599 6802 -92
1737 8054 -742
2528 7594 -37
965 9071 -129
5389 6242 -573
8803 6017 1
2052 2163 227
3791 2502 553
8171 2932 929
2360 3680 983
2404 7041 -145
8707 7063 651
3639 8718 378
3998 8978 852
372 585 -878
5020 3759 7
8866 3048 965
5725 2563 -668
1356 1557 597
8853 3424 332
7459 890 -51
3365 9707 58
4789 2908 530
1760 9611 -236
1294 5513 472
8221 5164 592
450 5197 -724
4290 4497 -453
6793 7198 -507
9197 7790 -5
4772 4313 -171
68 7598 845
7460 4231 -669
793 8316 232
7901 3599 -805
8520 4433 640
6388 4537 242
5710 8248 819
3028 6238 -412
3952 721 -573
1712 111 785
8969 3129 92
2656 7000 995
9393 6018 176
5462 6884 -485
6303 6215 -968
2487 4114 94
4986 513 785
4774 4677 -496
3237 7646 564
5553 8416 905
3128 9448 543
8272 2915 -555
9193 7334 -622
5261 6400 626
2176 3755 202
1951 311 -290
9719 2478 -184
1099 177 767
6920 6113 662
962 1812 68
1136 4366 -95
5271 5123 330
2193 9688 -991
2921 75 -834
35 5007 -717
9157 7495 -347
6307 2845 -374
1180 615 18
3452 2502 -912
1574 1139 -76
4636 1619 -449
2555 1065 -21
6622 1526 100
5142 9029 -921
690 3846 -553
1551 9139 -609
4310 8850 561
9111 8894 399
4379 8983 -380
4020 8522 29
37 8070 -643
2930 5187 754
9857 1129 921
6835 1943 -696
3339 1080 -962
7404 6129 -423
9527 2945 817
4512 7291 832
7856 5734 959
